,ENSG00000242802,ENSG00000177082,ENSG00000170873,ENSG00000170345,ENSG00000157224,ENSG00000144959,ENSG00000144199,ENSG00000131910,ENSG00000129991,ENSG00000121766,ENSG00000120158,ENSG00000116791,ENSG00000239857,ENSG00000204634,ENSG00000204305,ENSG00000203667,ENSG00000188038,ENSG00000185324,ENSG00000185220,ENSG00000173531,ENSG00000173258,ENSG00000124302,ENSG00000114841,ENSG00000243989,ENSG00000205213,ENSG00000198417,ENSG00000196091,ENSG00000185650,ENSG00000184925,ENSG00000182508,ENSG00000171766,ENSG00000166451,ENSG00000165821,ENSG00000164776,ENSG00000164087,ENSG00000148680,ENSG00000148604,ENSG00000144369,ENSG00000141401,ENSG00000137142,ENSG00000136160,ENSG00000131773,ENSG00000131773,ENSG00000189184,ENSG00000185187,ENSG00000163378,ENSG00000135480,ENSG00000135480,ENSG00000172345,ENSG00000172345,ENSG00000168389,ENSG00000166140,ENSG00000163874,ENSG00000151414,ENSG00000142748,ENSG00000134202,ENSG00000115884,ENSG00000239672,ENSG00000187867,ENSG00000141750,ENSG00000135502,ENSG00000121297,ENSG00000115687,ENSG00000161888,ENSG00000123219,ENSG00000164736,ENSG00000136997,ENSG00000134294,ENSG00000206172,ENSG00000206172,Group,AGE
GTEX-11EMC,0.7682816923196341,0.7398447881166696,-0.519394614942728,0.4609236412719382,1.1899671852843032,0.3595724715607733,-0.8907508446781195,-0.6831189607506533,-0.4864973187777922,-0.7222963692441428,0.28857945536525104,-1.0737882273401347,2.0666611169400526,1.2547246551052205,-0.6812773149780921,0.8621086404856578,0.5496900434392766,-0.40917403544036546,0.6091469912586855,0.1577592663902143,-0.455743726405141,2.396293189056009,0.014253548746762601,1.7620610428443686,0.5465738894035732,0.9705036742081005,0.8637055000529735,1.1994824086830687,1.5456712393373049,0.18657533723642378,0.3790724449982816,-1.8909119899077473,1.2764456412050142,0.5365375583193867,-2.1883630782332206,-1.6149277452669613,0.08196880840279747,0.6522925258518358,1.6807646517576516,-0.985210781366917,0.4084695616976087,-0.8762276918356448,-1.4390717589511948,0.20697387197424233,-0.8399255514808668,0.9448243751675472,1.6048799119577013,0.07763143997084235,-1.272747417620732,-1.2795846508723967,2.8556449294238155,-1.3516008016014929,0.0025434810669869674,-2.290698576384961,-0.17939912618024395,-0.6236607982450696,-0.4679903631260371,-0.37524587272346605,0.9104439053266358,0.430574520185508,0.25552583827206476,-0.8105323754501472,-0.9172851128357332,1.3168110364116326,-0.028528308621643027,-0.1239914735954644,0.8509556511113097,-1.1362811764957372,1.085161857888932,1.8190739139393532,old,60.0
GTEX-11GS4,-0.7260208485103355,-0.44828106200984996,0.1843324857533986,-0.618714280392915,-0.8516090215332773,0.7910132024239099,0.4400069309870252,-0.056710923063386286,-0.064582481361582,1.0547075819019078,1.8413942944608521,-0.526858370375189,-1.527557782773283,0.28315500374425306,0.6883145527459038,0.7375154575589653,-1.4278855810350783,1.1824306326790928,-1.9655368600493799,0.6208962913939247,-0.7914535125086296,2.4025786658098798,-0.13399605122986202,0.6077957577353809,-1.4506749641055465,-0.46190388732721344,-0.24816412737879062,-1.7129600431846257,0.4372021689891851,0.2100765637590834,-0.32071914522449263,1.0333252851389298,0.10770166625878154,0.4924840697481186,0.6839236471110458,0.4426775483258918,-1.4503990243666387,-1.5453673013895253,-0.3768413743537036,0.5941083069619866,-0.1900452167101528,-0.4957757221665629,-0.7512592450738472,-2.3107950132476685,1.8380171839114814,0.4858749507287855,-0.9208585848745429,-0.009188199178069806,0.3378536428050127,0.9144766111960757,-0.9127661708048659,0.18975884324887365,1.0966813604492625,1.1809312227172533,0.6712437204829155,0.5354457539005708,0.30084793448645286,-0.5160222709030495,0.6885930363540337,0.02305053620062029,-0.002425204417302167,-0.4322472830557751,-0.06421228671655645,0.7802091349921693,-0.05831289311953604,0.678285173890174,0.11803883723636731,0.4420928862580875,1.4755265914878033,0.6526163127485656,old,60.0
GTEX-11GSO,2.077659273149205,0.6653845943125081,0.5408670978595864,-1.199299739842507,-0.7274345579858896,-0.9655357869901232,-1.2582804809256194,-0.21466293071561046,-0.011901082252244663,-1.361799245694231,-0.2804649506390823,-1.3892622842084963,0.8322103784193873,2.4935554185486537,1.1922377814438572,-0.7318628333544738,-0.14215175661899657,-0.5866672126013581,-0.45102471201779437,1.136237383360692,-0.22573777750140125,-0.5897822483768544,2.1193834425685214,2.2006170024237393,0.25653204653818373,0.24203154715430145,-0.33376353072907156,0.598158491829275,1.3362477165646134,2.2039853502744013,0.40099296519864897,-0.8004497700157723,0.7886416863602526,0.3489473390323371,-0.6349402222551174,-0.9815075025746508,-1.357895290105292,0.7825961198436503,-1.5626649885516595,-1.8422116635830375,0.887578999450039,-1.2794935969926196,-1.4329940982475629,-0.706503250077531,-1.4880996421412243,1.2445902132850173,0.5772541470043279,0.8053261382834549,1.8952084074725355,0.4130795689686074,1.9502560754248026,-0.07226318194420671,-0.00340665159443417,-0.8849610599422144,-0.9647339561946788,-0.8018511239051892,1.3567424520226627,2.590838953931779,-0.7146293308214003,0.527357554813455,0.4828467199767594,-0.7420802940922713,1.2086009680122798,1.5658304362063946,0.5753320001063593,-1.4575865573880367,-0.4136838267897405,-0.1575024508411016,-0.5232186514633378,-0.773378427077693,old,60.0
GTEX-11OF3,-0.6570820267513455,0.12757522301352264,-0.1605245088766602,-2.0439219808814855,0.02849615158680027,0.3825407631606958,1.9732910246099216,0.5505488010579326,-0.3274425212917101,0.5279946734863064,1.0914813009156437,0.8274530528594868,-1.5406768013525285,-1.055508239592292,0.3234929714437839,0.39857121881076946,0.15643682989974161,2.612849081492418,1.712113218807374,-0.0017326159623537864,-0.8407375015852677,0.6294800822636555,-1.4977457414798157,0.6140153254454572,0.8016514965356039,-0.5315923992332546,-1.3837079745941387,-0.9253781229748002,-0.379675685022864,-0.8200370729805903,-0.5042827750319423,-0.20144876299312542,1.5331663377839209,-0.1863081247424491,-0.5620977953813253,-0.5861769754292183,-0.6936625882933857,-1.0212787205549014,-0.8636657623212751,1.5822628639733933,-0.7682043020415108,1.5660469971116413,-2.1826870925662556,-0.395808446379944,0.7911487589286776,-0.9785258232542277,-0.7101244758733404,-0.11330254387374522,0.8873135211275358,1.450476452253529,-0.5609390017136233,0.6086363107422783,-1.7533225922020697,0.8521900509059893,1.694870090212881,0.7586409999147243,-1.7462373357312682,-1.168966898780049,0.48403429249821667,-0.6688397542330963,3.253407794514694,-1.6929781378440822,0.37675006088004326,-0.7269378203425928,0.5984756276693526,0.0537718826264536,-1.2446234313151665,1.0690613184696653,-0.7665443237735238,-0.12299777976906734,old,60.0
GTEX-11ONC,0.6741635503220625,0.2915488919378623,1.1443869573346042,0.0102644914956016,-1.1944890617395751,-0.7485735519338053,-1.1068860561685703,-0.570750341742797,-1.307465532026392,-1.6088386126796153,0.9900658282381984,-0.6399083117799556,0.9832180171380243,-0.5522109301618334,-0.7621530143871228,0.8343471107405608,0.9764181530245084,1.1679232084293691,0.40758228155628323,-1.1347677847897564,-0.12895968281497364,0.473521272197941,0.10148427919231998,0.9291747588697613,-0.4945337791337054,0.4130992767149235,0.18598607877519263,0.9628978172707868,0.8514447164463099,0.13148034357818278,-0.29916785063797974,-1.5805424158784627,0.16468859260679164,0.7784581017991905,-0.09068477526075736,0.14246868170763027,0.08991782075028337,-0.9121844523447582,-0.4813848082742727,-0.07523766474229916,-0.2862917986695965,0.9315781659262664,-0.30315104754341965,1.364336166933748,-0.4592110703455538,0.11072332166453995,0.07231899984967968,-0.2444311602283507,0.7694686136396733,0.038362587901034126,2.5357535448583177,0.1539241514711187,0.16421508048329989,0.4180066599873668,-1.5668181800848233,0.9081170636751559,0.33017647791698984,-0.04765145836404789,0.8024809479969536,0.10365137752882304,0.8213760107339457,0.3997680982192329,-0.3740890688606579,-0.24174248139563312,-0.4460373646422105,0.44144960237798136,0.24946120853596665,-0.38159202935016057,2.202709498717877,2.5741244627057216,old,60.0
GTEX-12ZZY,-1.8630765008269907,-1.68157284897561,0.6128590340260222,0.04394780773926148,1.2185299622018397,-0.6319946247120234,-0.739032043526958,-1.0073443293133004,-0.11808546782255301,0.02355230804164296,-1.9245853013814467,0.3313533043196612,-0.22032840081906394,-0.8390224315711166,-0.9071335252607493,1.461134723260129,-0.8966207897001426,1.4630719277624586,1.4090837682152626,0.5598762637806883,-0.9772218909365269,-1.110585795312076,1.8200076989860074,0.23629975599282232,-1.1365921882486434,-0.285738141537826,-0.7324447701861467,-0.4124049146090157,0.2884385142363422,-0.642720210766375,-0.11532281874503597,1.324239752679234,-0.3730820373669934,0.018053101975019997,0.5248727836196992,-0.3129537948631334,-0.6773545881233675,-1.3067133864328129,-0.8251234110563073,-0.6960429006092317,-1.273481406485019,0.07327147474619944,-0.63317064780458,-0.24650105409532405,0.26811357717495526,-0.5429961891366771,1.2208127753273978,-0.13900396381464455,1.1155238382129762,-0.5862953390470754,-0.5102104758121443,-0.7483095232434738,-0.6953927171172443,2.052315654532847,-0.34864339961005764,-0.3524875604839774,-1.2989249075784965,0.0051355000912912145,0.05796266921851356,0.19429867957327973,0.34833754815942547,-0.6650229847033424,0.8013917101093946,-0.15572179467451147,0.5967771610844068,-0.3340015501413946,1.641626813624881,-0.6219190813258578,-0.8425632696246128,-0.9306696885608523,old,60.0
GTEX-12ZZZ,-0.5054899896687471,0.7637717635578607,-0.16077300973442282,-0.06401704537434601,0.41436312156288435,-0.21071375479728766,-1.2668413611714233,-0.6451223953576872,0.32516698620973894,0.7619025760504852,-1.0610657946348818,0.405747731659362,-0.3007482263314288,0.8279773210907649,-0.6953410930021791,2.1946919945483203,-1.129314626903754,0.9606829391488115,-0.3676040825884961,-0.7886122762861351,-0.6673214947130941,-0.886984082271377,-0.7056581974573707,-0.6300068769740558,0.5183836964720195,0.5966003499573715,-0.2982754766566506,1.0925993826950684,0.37924376880090666,1.1050943156469852,2.0309555246630833,-0.15098683317727968,0.5064167760155004,1.0376592295188047,-1.8550422229847967,-1.0346319012465905,1.1650961116308631,1.9526066172129513,-0.7634120396266784,-0.512246911321859,1.1567024811279214,0.7160142080319459,0.8846394800497676,-0.010799740995697088,1.598071740376034,0.9401319862802483,-0.5860103780649681,0.704935723210352,-0.09302039056839424,-0.7150574045979409,-0.2959759037795964,0.9900219333447146,2.0620828493739536,0.13504706232111002,0.47231853244738276,-0.06398080677517247,-0.5700279170376663,-0.028482369576433703,-1.1336513872093454,-0.22523909700949532,0.39965566593330326,0.6060931011539098,0.3743585271591055,-0.39693772597321186,0.2111705731713655,0.84788497587269,1.4854371141899732,0.2770644705871153,0.6646722754763356,-1.3272688182416228,old,60.0
GTEX-131YS,0.28521325075060333,0.7712041152204977,-1.3726578048030116,-1.6003815402809483,2.1268591884492545,0.45514385890945724,-1.4991152097798657,1.8691943990486437,1.3805787354914114,0.10054251362313682,0.26475469781780414,1.2898737114643672,-1.5783345182868689,-0.9207265568590083,-0.1499944490790665,0.98025023227511,0.08723218849431666,0.1512417114455744,0.276721484263788,-1.1528633690230117,0.18145297925912202,0.3423902168012973,-0.17511041185728124,-1.0523878519279777,-0.9893782498350762,-0.24809575336103673,-1.3072315056762824,-0.7378515296207219,-0.5741198468013718,-0.4002768863674202,-0.17383364176801572,0.5467612652982113,-0.37043272279907746,-1.1040653292332205,-0.08588021166576378,0.45301734306579805,-1.0505951398966626,-0.5689103264151208,-1.030769948081415,-1.2748334130240244,-0.3645529677732637,-0.402801433781666,0.7966473812715265,-0.06610390400417046,1.1090228475241255,1.0774971510583609,0.7009112627309927,-0.47321555156808387,0.8373523468582924,1.440425439713622,-0.7496106937104735,1.1310575897783628,-0.30655986697263504,0.07721345915156805,-0.2761152660630503,0.8960170428901874,-1.4495409029681618,0.9745890784439629,0.510359096918113,-0.24549713927420133,0.4093420516851642,0.29461171670122316,1.3363346649583943,-1.2184890647149111,-1.482055026411577,-1.0670482118543636,-1.0031127724667115,-1.5252405337556547,-1.7686246345503234,-1.376311749429927,old,60.0
GTEX-1399T,1.003431240111998,0.642481914020708,-0.28171561620231955,0.0616795361073005,0.8665937095620726,-0.7388161263376146,0.7260685704183486,0.22941841093993642,-0.37474196200325816,0.3928497051533616,0.5746769676320083,1.021225753655097,-1.093892828775299,-1.0483442236272087,-0.9292859982623921,-0.13463058133488498,-0.4188277197650887,0.9709068272884439,-0.025890780222104316,0.5997856296286006,-0.6986113691192951,0.7854906802754305,-0.7970599487657514,1.3487473147794538,-0.7326627508041658,1.4655102003538205,0.9831070619425565,0.7692520586790583,1.5120840572152243,0.15105594437288525,1.0362957995589017,-3.281397553390943,0.17956755013469178,1.6792166144504683,-0.7525792827832051,-0.4440868688892708,0.22011744803393515,-0.10525106302219024,-0.649697965112455,-1.463265978604848,0.601250750674951,0.626629438441085,0.034768290090387816,-0.5307835001370795,-0.20768195330945655,0.2913830272775889,1.5325586785339005,-0.41771208691311335,0.6064091776568988,0.684998278335152,-0.1871752484620399,1.657657444250746,-0.8931214241670266,-0.6941454796507461,-0.9872481731864201,-0.6726619243660824,0.2590576425582316,0.5614415415901723,0.5662942544617429,0.5580682673667493,-0.11844986318013287,0.5668563995869853,-1.0530522903076387,-1.0811428185696381,0.20654519072718805,-0.6463084819959565,-1.4288036950540524,-0.41351549132199134,-0.07029222846005133,1.0145211211797494,old,60.0
GTEX-13S7M,0.75609234043648,0.25417259678428056,2.502959897742661,-0.1125162968472604,-1.2027693328690958,0.17151835056225784,-0.13138249118208084,-1.2683750766532904,-1.0412320007313067,-0.45554254500666863,1.2610793672737923,0.13748111531869603,1.1140537038541058,1.6162688746992613,-0.3220769182975541,-0.8205052102767625,0.7319911977151511,-0.8454013964919261,-0.22962227047648223,0.8163000418393409,1.480188506570702,-1.0498638619799732,-0.04437570388835777,1.200842026136024,0.20745638268862202,1.4804845183930948,0.9583279516601733,0.4397032525600533,1.857140611989204,0.3303566849349836,0.6264044348445763,-1.6981835236942837,-0.3084688421828099,1.364537383536218,-0.5405809051285292,-1.354731368193016,2.528101890562235,0.07266010019704644,0.1558974123562903,-0.9709769223911414,-0.27528261963366024,1.1721942038139697,-1.1267725850639245,-0.29212408033708315,-1.3493199009385135,1.7326629406068181,1.6458224027968738,1.3659601686303304,-0.23656624440629623,0.7955743140859048,0.35199653239631756,-0.9937448911128971,1.518680185536134,0.25244609771272425,1.2353380214139555,0.09105482042459657,1.2971596654631992,-1.233316064104909,0.8603992763344211,-0.14695911257491145,1.9961748145871963,0.15775382592246048,0.018945416097934216,0.7213953595074662,0.015174505608344007,0.19125711171320273,-0.4702579593676407,2.334753126996675,0.2163201838313162,-1.1973927120951755,old,60.0
